adr.	adrenalin
afd.	afdeling
afd.led.	afdelingsledelsen
afd.læge	afdelingslæge
afs.	afsnit
a-grafi	arteriografi
ak-behandling	antikoagulationsbehandling
akt.	aktivitet
alk	alkalisk
an	anæstesi
ang.	angående
anæst.	anæstesi
arb.	arbitrær
art.	articulatio
beh.	behandling
biomikr.	biomikroskopi
bl.pr.	blodprøver
bordl	borderline
bs	blodsukker
bt	blodtryk
ca.	cirka
camp.	campimetri
cirk	cirkulation
cl	centiliter
cm	centimeter
cmv	cytomegalovirus
cns	centralnervesystemet
co	kulmonoxid
co2	kuldioxid
cont.	continuat
cresc.	crescat
csv	cerebrospinalvæske
cyl.	cylinder
dagl.	daglig
dem.	deminuatur
deminuat.	deminuatur
detumesc.	detumescerende
dg	decigram
dgl.	daglig
dialysev	dialysevæske
dl	deciliter
dr.	doktor
d-sonde	duodenal-sonde
dv	dagvagt
eeg	elektroencephalografi
ekg	elektrokardiogram
el.	eller
enzk.	enzymkoncentration
enzm.	enzymmængde
epi	epidural
epo	erythropoietin
ery	erythrocyt
erys	erythrocytter
evt.	eventuelt
fhv.	forhenværende
forb.	forbindelse
forte	stærk
fv	forvagt
fys.	fysioterapi
gangfkt.	gangfunktionen
hast.	hastighed
hb	hæmoglobin
hd	hæmodialyse
hdf	hæmodiafiltration
hgb	hæmoglobin
hhv.	henholdsvis
hpt	hudperfusionstest
h-reg.	hnpcc-registret
hvp	hovedpine
hø.	højre
if.	ifølge
ilt-sat	iltsaturation
indh.	indhold
init.	initialt
inkl.	inklusive
insp	inspiratorisk
isot	isotonisk
jf.	jævnfør
jr.	journal
kl.	klokken
koag	koagulation
komb.	kombineret
komp.	komparativ
konf	konference
konkl.	konklusion
koord.	koordinerende
kpa	kilopascal
led.	ledende
ledv	ledvæske
lejr.	lejring
lkc	leukocytter
lkcs	leukocytter
lm	larynxmaske
lok.	lokal
max.	maximum
mb.	morbus
medpt.	medpatient
meq	milliequivalenter
mg	milligram
mhz	megahertz
mikrogr.	mikrogram
mixt.	mixtura
ml	milliliter
mmol	millimol
mp	mallampati
multif	multifokal
mætn.	mætning
n2o	kvælstofforilte
nacl	natriumclorid
neg.	negativ
no.	numero
nocte	nat
nr.	nummer
ns	navlesnor
o2	ilt
o2-bind	iltbindende
o2-sat	iltsaturation
obj.	objektivt
oculent.	oculentum
oft.	oftalmoskopi
op.sygepl.	operationssygeplejerske
opv	opvågning
ovl	overlæge
pa	pascal
palp.	palpation
parfr.	parktikelfraktion
pd	peritonealdialyse
pg	pikogram
ph	ph-værdi
pkt.	punkt
plv	pleuravæske
pos.	positiv
postop	postoperativ
pp	plasma-prothrombin
præmed	præmedicin
pt.s	patientens
pulm	pulmonis
pup.	pupilforhold
rapid	hurtig
rekv	rekvirent
rel.	relativ
rep.	repetat
resuscit	resuscitation
rf	respirationsfrekvens
rh	rhesus
ri	referenceinterval
r-læge	reservelæge
rp.	recipe
rtg.	røntgen
rtg.us.	røntgenundersøgelse
sarc	sarcom
sat	saturation
sf.	sfærisk
sgpl.	sygeplejerske
sml.	sammenlign
smz	spermatozoer
spl.	sygeplejerske
splt.	spaltelampeundersøgelse
sr	sænkningsreaktion
still.	stilling
stim.	stimulerende
stoffr.	stoffraktion
stofk.	stofkoncentration
stofm.	stofmængde
supf.	superficielt
sympt.	symptomer
symt.	symptomer
syn.	synonym
synsf.	synsfelt
tb	tuberkulose
tdl.	tidligere
tea	trombendarterectomia
temp.	temperatur
th.	thorakal
tidl.	tidligere
tlf.	telefon
tot	total
tox	toksikologi
u-brev	udskrivningsbrev
udg.	udgave
uf	ultrafiltration
ugtl.	ugentlig
ul	ultralyd
us	undersøgelse
ut	ulykkestilfælde
vb	væskebalance
vedligeh.	vedligeholdelse
vedr.	vedrørende
vejl.	vejledning
vesp.	vespere
vf	ventrikelflimmer
vh	vagthavende
vol	volumen
volfr.	volumenfraktion
ønh	øre-næse-hals
